What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
United Kingdom,25-29,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Server Fault
Middle East,20-24,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Super User
Canada,30-34,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Server Programmer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Embedded Application Developer,Other,Java,N/A,N/A,N/A,Python,Ruby,N/A,N/A,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,Common Lisp,Linux,Stack Overflow
Middle East,30-34,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,51-60,Desktop Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,VBA,Windows XP,Stack Overflow
United States of America,40-50,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
United Kingdom,35-39,Server Programmer,Enterprise,N/A,N/A,CSS,PHP,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,many,Windows XP,Stack Overflow
United Kingdom,25-29,Other,Other,Java,N/A,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Other,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,20-24,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Systems Analyst,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Systems Analyst,Other,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Other,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Netherlands,35-39,Embedded Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Netherlands,25-29,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,XAML,Windows 7,Stack Overflow
France,30-34,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,25-29,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Linux,Stack Overflow
Germany,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,"Groovy, Grails",Linux,N/A
United Kingdom,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Kernel / Driver Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,40-50,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
United Kingdom,25-29,IT Staff / System Administrator,Web Platform,N/A,JavaScript,N/A,PHP,Python,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Middle East,30-34,Student,Other,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,C++,N/A,N/A,N/A,Prolog,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,>60,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,VB,Windows 7,Stack Overflow
Germany,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Africa,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Systems Analyst,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,LabVIEW,Windows XP,Stack Overflow
Other Europe,35-39,Server Programmer,Enterprise,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ABAP,Windows Vista,Stack Overflow
India,20-24,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Other Asia,30-34,Systems Analyst,Enterprise,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Middle East,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Middle East,25-29,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Asia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB,Windows XP,Programmers Stack Exchange
United Kingdom,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,30-34,Embedded Application Developer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Server Programmer,Other,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
Italy,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Africa,35-39,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Netherlands,35-39,Web Application Developer,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Desktop Application Developer,Other,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,D,Windows XP,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
Other Asia,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Other,Web Platform,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,40-50,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,N/A,C,Perl,N/A,ObjectiveC,Linux,Stack Overflow
Middle East,30-34,Server Programmer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,F#,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Server Programmer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,R,Linux,Stack Overflow
France,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"vb.net, actionscript",Windows 7,Stack Overflow
Russia,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Other,Other,Java,JavaScript,CSS,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,AutoHotkey,Windows 7,Super User
France,25-29,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Australia,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
France,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Windows XP,Stack Overflow
Netherlands,30-34,Other,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Other
Germany,30-34,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,N/A
Other Europe,20-24,Desktop Application Developer,Other,Java,JavaScript,N/A,PHP,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Africa,25-29,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,< 20,Student,Other,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,C++,C,N/A,N/A,N/A,Mac OS X,Server Fault
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Italy,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,20-24,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,VB,Mac OS X,Stack Overflow
Italy,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,VB.NET,Windows XP,Other
United Kingdom,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Netherlands,30-34,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,"Matlab, AWK, ...",Windows Vista,Other
Netherlands,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
France,30-34,Server Programmer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United Kingdom,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Other,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Other,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,< 20,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
Other Europe,30-34,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,clojure,Linux,Stack Overflow
Italy,25-29,Server Programmer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
France,25-29,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",SaaS,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Kernel / Driver Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Linux,Super User
United States of America,40-50,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,IT Staff / System Administrator,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,N/A
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,flex,Mac OS X,Stack Overflow
India,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Other,Other,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,20-24,Other,Other,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,C++,C,Perl,N/A,"make, OCaml",Linux,Stack Overflow
Other Europe,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,Delphi,Windows XP,Stack Overflow
Other Europe,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,anything,Windows 7,Stack Overflow
Other Europe,40-50,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Database Administrator,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,N/A,N/A,CSS,PHP,N/A,Ruby,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Australasia,25-29,Server Programmer,Web Platform,Java,JavaScript,N/A,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Manager of Developers or Team Leader,SaaS,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Network,Windows 7,Stack Overflow
Germany,25-29,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
India,30-34,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Other
United States of America,25-29,Web Application Developer,Web Platform,Java,N/A,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Germany,20-24,Other,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Other
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,25-29,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,F#,Windows XP,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,N/A
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,assembly language,Windows 7,Stack Overflow
India,25-29,Manager of Developers or Team Leader,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Australia,30-34,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,30-34,Manager of Developers or Team Leader,Mobile,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Australasia,35-39,Desktop Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Web Platform,Java,N/A,N/A,PHP,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,Scala,Linux,Stack Overflow
United States of America,< 20,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Africa,30-34,Server Programmer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb6,Windows XP,Stack Overflow
Middle East,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,35-39,Desktop Application Developer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Other,Other,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VBA,Windows XP,Super User
United States of America,20-24,Desktop Application Developer,Web Platform,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Server Programmer,SaaS,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,25-29,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,20-24,Other,Other,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,"Assembly, VB",Windows 7,Stack Overflow
United States of America,< 20,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,Python,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Australia,20-24,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Windows 7,Server Fault
United States of America,35-39,Manager of Developers or Team Leader,Other,Java,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,groovy,Mac OS X,Stack Overflow
United States of America,25-29,Desktop Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,< 20,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,30-34,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Windows XP,Stack Overflow
